Insulin-like peptide receptor,K05087
Meprin A subunit beta,K08606
Neuronal acetylcholine receptor subunit alpha-6,K04813
Carboxylesterase 3,K01050
Probable phosphoketolase 1,nan
Multifunctional alkaline phosphatase superfamily protein pRL90232,K12376
UPF0729 protein AAEL015238,nan
Glutamyl aminopeptidase,K11141
ATP-dependent RNA helicase HrpA,K13117
KRAB-A domain-containing protein 2,K09230
GTPase-activating Rap/Ran-GAP domain-like protein 3,K17700
"Calcium uniporter protein, mitochondrial",nan
Carbohydrate sulfotransferase 3,K04746
COMPASS component SWD1,K03130
Putative uncharacterized protein,K04239
Neuropeptide-like precursor 1,nan
Aldo-keto reductase str7,K04882
Peptide transport system ATP-binding protein SapF,K05657
Short transient receptor potential channel 4,K04965
Heme/hemopexin transporter protein HuxB,nan
Synaptic vesicle 2-related protein,K06258
mRNA export factor elf1,K00108
Zinc finger E-box-binding homeobox 2,K09299
Copper transport protein CTR2,K14686
Cell division cycle protein 27 homolog,K03350
Eukaryotic translation initiation factor 3 subunit L,K15029
Isochorismate synthase DhbC,nan
Cytosolic Fe-S cluster assembly factor NUBP1 homolog,K03593
Nischarin,K24095
ATP-dependent RNA helicase dhx8,K13117
Protein HIRA homolog,K11293
LIM/homeobox protein Lhx9,K09373
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-4",K05858
Feruloyl esterase D,nan
Inhibitor of growth protein 1 homolog,K19198
Attractin-like protein 1,K24332
Obscurin,K13912
Trk system potassium uptake protein TrkI,nan
Uncharacterized transporter HI_0608,K14445
60S ribosomal protein L18a,K02882
Poly(rC)-binding protein 3,K21444
Dolichyl-phosphate-mannose--protein mannosyltransferase 4,K00728
Jerky protein homolog-like,K18798
Chromosome partition protein Smc,K06669
Neither inactivation nor afterpotential protein G,K00115
A-factor type gamma-butyrolactone 1'-reductase (1S-forming),K10402
AdoMet-dependent rRNA methyltransferase spb1,K14857
Probable endochitinase,K01183
Alpha-glucosidase,K12316
Glycine betaine/proline/ectoine/pipecolic acid transporter OusA,K06258
Peroxisomal (S)-2-hydroxy-acid oxidase,K11517
Juvenile hormone esterase,K01050
J domain-containing protein,K09532
Myc-associated zinc finger protein (Fragment),K22534
Pre-mRNA-splicing factor SLU7,K12819
Esterase B1,K03927
Putative pyridoxal phosphate-dependent aminotransferase EpsN,nan
Pleckstrin homology domain-containing family A member 8,K08051
Ubiquitin-like protein 7,K04523
2-iminobutanoate/2-iminopropanoate deaminase,K06271
Putative uncharacterized protein,K14323
Plipastatin synthase subunit B,K00142
Methionine aminopeptidase A,K01265
Arsenical pump membrane protein,nan
Cleavage and polyadenylation specificity factor 73,K14403
Zinc import ATP-binding protein ZnuC,K05680
Zinc finger and BTB domain-containing protein 11,K22534
Mite allergen Der p 3,K01312
Elongation of very long chain fatty acids protein 4,K10250
Elongation factor 1-beta,K03232
Ankyrin repeat and BTB/POZ domain-containing protein 1,K10523
Uncharacterized protein YycO,nan
"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",K01230
"Mannan endo-1,6-alpha-mannosidase DFG5",K08257
Low specificity L-threonine aldolase,nan
Methyl-accepting chemotaxis aspartate transducer,nan
Plasma kallikrein,K09633
Uncharacterized protein YfgD,nan
"Eukaryotic translation initiation factor 1A, X-chromosomal",K03236
Transposon TX1 uncharacterized 149 kDa protein,K17935
Probable serine/threonine-protein kinase nek2,K20872
Transcription factor COE2,K09103
Pyridoxine 4-dehydrogenase,K17744
Putative uncharacterized protein,K22020
Zinc finger HIT domain-containing protein 3,K23309
Cytochrome P450 3A9,K07424
Chymotrypsin-like elastase family member 2A,K09632
DnaJ-like protein 1,K09502
Short chain dehydrogenase mpl6,nan
Probable glucarate dehydratase,K00058
Zinc metalloproteinase nas-4,K08606
Putative uncharacterized protein,K01097
"Threonine--tRNA ligase 2, cytoplasmic",K01868
Acetyl-CoA carboxylase 2,K11262
Neuropeptides capa receptor,K06258
Trypsin-7,K01346
Transmembrane protease serine 11A,K01312
Cytosol aminopeptidase,K11142
SAGA-associated factor 29,K11364
Probable aldehyde oxidase 2,K00106
"Probable proline--tRNA ligase, mitochondrial",K01881
Protein bax,nan
Putative uncharacterized protein,K23029
COP9 signalosome complex subunit 6,nan
ComE operon protein 2,K01493
Pyroglutamylated RF-amide peptide receptor,K04239
Putative uncharacterized protein,K06491
Adenylyl cyclase X E,K01768
Putative uncharacterized protein,K11550
Probable RNA-directed DNA polymerase from transposon X-element,K23712
Vacuolar amino acid transporter 1,K15015
Mitochondrial import receptor subunit tom70,K17768
Glycine betaine/proline betaine transport system ATP-binding protein ProV,K05653
(DL)-glycerol-3-phosphatase 2,K17623
Putative transporter B0252.3,K08202
Peroxisomal targeting signal 1 receptor,K13342
Tuberous sclerosis 2 protein homolog,K07207
Homeobox protein Mohawk,K15613
Mediator of RNA polymerase II transcription subunit 8,nan
Transcription factor E2f1,K09389
Protein tas,K13172
60S ribosomal protein L23a 2,K02893
Targeting protein for Xklp2 homolog,K12182
Glycine-rich domain-containing protein 2,nan
Serine/threonine-protein kinase StkP,K11479
Nonribosomal peptide synthetase 6 (Fragment),nan
60S ribosomal protein L30-2,K02908
Heterogeneous nuclear ribonucleoprotein U-like protein 1,K15047
U-scoloptoxin(01)-Cw1a,K06237
Macrolide export ATP-binding/permease protein MacB,K05660
Probable glycylpeptide N-tetradecanoyltransferase,K00671
50S ribosomal protein L2,K02938
50S ribosomal protein L24,K04967
Zinc finger CCCH domain-containing protein 13,K22909
Membrane protein TMS1,K23544
Glutathione-specific gamma-glutamylcyclotransferase 1,K07232
Peptide transport system permease protein SapC,nan
4-coumarate--CoA ligase-like 7,K01904
DNA-directed RNA polymerase subunit alpha,K03040
Growth arrest and DNA damage-inducible proteins-interacting protein 1,nan
Aminopeptidase N,K08776
Homeobox protein MOX-1,K09320
Putative uncharacterized protein,K15001
Nuclear receptor coactivator 2,K11255
High mobility group protein DSP1,K10802
Eukaryotic translation initiation factor 3 subunit F,K03249
Putative uncharacterized protein,K11224
"Putative transferase caf17, mitochondrial",K22073
Putative folylpolyglutamate synthase,K01930
Type VI secretion system component TssF1,nan
Pre-rRNA-processing protein las1,K16912
Sensor protein kinase CarS,nan
Hemolymph lipopolysaccharide-binding protein,K01315
Probable E3 ubiquitin-protein ligase HERC4,K10615
Putative uncharacterized protein,K17043
Fas-associated death domain protein,K02373
Cyclic AMP receptor 1,K22987
"Probable serine--tRNA ligase, cytoplasmic",K01875
Tellurium resistance protein TerA,nan
Excitatory amino acid transporter 2,K05613
"Phosphoribosylglycinamide formyltransferase, chloroplastic",K11787
Pyroglutamylated RF-amide peptide receptor,K04240
Mitochondrial ribosome-associated GTPase 2,K09228
Junctional adhesion molecule A,K17675
Helicase swr1,K11320
Carboxylesterase 5A,K01050
Ral GTPase-activating protein subunit alpha-1,K07207
Retrovirus-related Pol polyprotein from transposon TNT 1-94,nan
"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA (Fragment)",K01230
Replication factor C subunit 1,K15692
Transmembrane protein 145,nan
Putative uncharacterized protein,K20173
Nuclear factor related to kappa-B-binding protein,K11671
UPF0674 endoplasmic reticulum membrane protein C2G5.01,nan
Cofilin,K00799
Ribosome assembly protein RRB1,K14848
Amino acid transporter AVT1B,K15015
3-mercaptopropionate dioxygenase,nan
cAMP-dependent protein kinase regulatory subunit,K04739
BTB/POZ domain-containing protein 19,K21922
Tyrosine phosphatase H3,nan
Putative uncharacterized protein,K01835
Putative uncharacterized protein,K20298
"Endo-1,3-1,4-beta-glycanase EglC",nan
Transposable element Tc1 transposase,K14169
Inositol polyphosphate multikinase,K00915
Uncharacterized ABC transporter ATP-binding protein/permease YOL075C,K05679
Homeobox protein Nkx-2.6,K09342
Putative epoxide hydrolase,nan
Aconitate hydratase B,nan
Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagV,nan
Hypoxanthine phosphoribosyltransferase,nan
Heat shock 70 kDa protein 5,K03283
Kinesin-related protein 4,K11498
Insulin receptor,K05122
Endonuclease III homolog,K10773
Putative uncharacterized protein,K09220
Sporulation protein RMD8,K21456
Cytochrome P450 monooxygenase astJ,K14999
Ankyrin repeat domain-containing protein 61,K10645
E3 ubiquitin-protein ligase sina,K04362
MFS-type transporter cnsO,K12301
Neogenin (Fragment),K08653
Peroxynitrite isomerase THAP4,K23205
Thiol:disulfide interchange protein DsbG,nan
Putative uncharacterized protein,K04209
PHD finger protein 12,K10603
Conserved oligomeric Golgi complex subunit 5,K20292
Translocon-associated protein subunit delta,K04571
DNA repair protein rad16,K10848
UBX domain-containing protein 1-A,K24348
Testisin,K09641
Toll-like receptor 9,K23533
ATP-dependent RNA helicase DeaD,K17043
GTPase-activating protein CdGAPr,K20647
Putative uncharacterized protein,K10224
Putative uncharacterized protein,K09339
Uncharacterized protein CG1161,nan
Uncharacterized protein HI_0926,nan
Uncharacterized ABC transporter ATP-binding protein MT1311,K05655
Uncharacterized ATP-dependent helicase MG018,K11654
F-box/WD repeat-containing protein 1A,K03362
Nonribosomal peptide synthase sidC,K01897
Lipase 2,K14349
Ectoine/hydroxyectoine transporter,nan
snRNA-activating protein complex subunit 1,K15208
UPF0438 protein YifE,nan
Adhesion G protein-coupled receptor L2,K01099
Ubiquitin thioesterase otubain-like,K09602
Chromobox protein homolog 5,K11585
Putative uncharacterized protein,K20254
PHO85 cyclin-6,nan
Protein translation factor sui1,K03113
"L-2,4-diaminobutyrate decarboxylase",nan
Protein jim lovell,K09237
Fructose-like permease IIC component 1,nan
Putative 2-aminoethylphosphonate import ATP-binding protein PhnT,K05662
ATP-dependent 6-phosphofructokinase isozyme 2,nan
L-glutamine--4-(methylsulfanyl)-2-oxobutanoate aminotransferase,nan
Probable global transcription activator SNF2L1,K14440
Myosin-I heavy chain,K14970
Aldehyde-alcohol dehydrogenase 2,K13954
Sugar fermentation stimulation protein homolog,nan
Bifunctional glutathionylspermidine synthetase/amidase,nan
Lipase member J,K01052
Phosphohexose mutases,K01835
UPF0565 protein C2orf69 homolog,K05323
O-methyltransferase bik3,nan
Protein flightless-1,nan
Putative uncharacterized protein,K08892
Integrator complex subunit 4 homolog,nan
Solute carrier family 22 member 3,K08209
Sideroflexin-1-3,K23500
Putative uncharacterized protein,K17916
Probable cytosine deaminase,nan
Probable RNA-directed DNA polymerase from transposon X-element,K23677
Xylose import ATP-binding protein XylG,K05643
Elongation of very long chain fatty acids protein 4,K10249
Down syndrome cell adhesion molecule,K06767
PiggyBac transposable element-derived protein 4,K22594
Uncharacterized protein SE_0901,nan
"NACHT, LRR and PYD domains-containing protein 3",K10165
Low-density lipoprotein receptor 2,K20053
NACHT and WD repeat domain-containing protein 2,K11887
Nucleoporin SEH1,K14299
Ras-related protein Rab-24,K07912
Coiled-coil domain-containing protein 96,nan
Leucine-rich repeat serine/threonine-protein kinase 1,nan
Peptidyl-prolyl cis-trans isomerase pin1,K09578
Probable protein phosphatase 2C 1,K17508
Sulfate adenylyltransferase subunit 1,K14416
Putative uncharacterized protein,K15280
Uncharacterized family 31 glucosidase ORF2 (Fragment),nan
Cytochrome bo(3) ubiquinol oxidase subunit 4,nan
Putative 1-phosphatidylinositol-3-phosphate 5-kinase FAB1C,K00921
Protein GVQW3,K11433
Serine/threonine-protein kinase mig-15,K08840
"3-carboxy-cis,cis-muconate cycloisomerase",K01756
30 kDa heat shock protein,K09649
Bacitracin export ATP-binding protein BceA,K05658
Putative aminoacrylate hydrolase RutD,K13703
Ribosomal protein S6 kinase-like 1,K20839
Short coiled-coil protein homolog,K20316
Alpha-glucosides permease MPH2,nan
G-protein coupled receptor moody,K08421
Uncharacterized protein YhaP,nan
FGGY carbohydrate kinase domain-containing protein,K00864
MFS transporter M2,nan
Putative uncharacterized protein,K15122
Mucin-like protein (Fragment),K17307
Equilibrative nucleoside transporter 4,K03323
Protein takeout,K04352
Putative uncharacterized protein,K11498
Putative uncharacterized protein,K23377
Adenylate cyclase type 2,K08042
Solute carrier family 22 member 16,K08209
Myrosinase 1,K05350
Protein sgm1,K20286
Cytochrome P450 monooxygenase AOL_s00215g282,K07419
MAPK regulated corepressor interacting protein 2,nan
Putative oxidoreductase YetM,nan
Putative uncharacterized protein,K09554
Kelch-like protein 4,K10448
Probable RNA-directed DNA polymerase from transposon BS,K09191
Short chain dehydrogenase/reductase astE,K11147
E3 ubiquitin-protein ligase siah2,K04506
WD repeat domain phosphoinositide-interacting protein 2,K17908
Putative uncharacterized protein,K20685
Chromosome-associated kinesin KIF4,K10395
Mite group 2 allergen Tyr p 2,K13443
Serine/threonine-protein kinase PK-1,K12823
Gag-Pol polyprotein,K16506
Probable FAD-dependent oxidoreductase PA4991,nan
UPF0260 protein GOX1406,nan
Tyramine beta-hydroxylase,K00503
Probable E3 ubiquitin-protein ligase RNF144A-A,K11975
Putative uncharacterized protein,K02857
Autophagy-related protein 13,nan
Cleft lip and palate transmembrane protein 1-like protein,K12488
Eukaryotic translation initiation factor 4 gamma 3,K03260
NADH dehydrogenase-like protein SSP1834,K17871
Uncharacterized 35.9 kDa protein in asd 3'region,nan
Serpin I2,K13963
Membrane sensor protein UhpC,K00699
Putative uncharacterized protein,K14716
Ubiquitin-associated protein 1,nan
MYND-type zinc finger protein samB,K07204
"dTDP-4-dehydrorhamnose 3,5-epimerase",nan
Uncharacterized protein YobB,nan
Frizzled-4,K02354
"Cobyrinate a,c-diamide synthase",nan
Hemocyte protein-glutamine gamma-glutamyltransferase,K05619
Glucose-6-phosphate 1-dehydrogenase 2,nan
Nuclear receptor-binding protein,K08875
Probable quinate permease,K00456
Mechanosensitive ion channel protein 9,K01522
Bromo adjacent homology domain-containing 1 protein,nan
Putative uncharacterized protein,K16288
"Protein FMP32, mitochondrial",nan
Putative uncharacterized protein,K19179
Norsolorinic acid reductase A,K15303
"NAD(P) transhydrogenase, mitochondrial",K00323
Protein mgr2,nan
Translationally-controlled tumor protein homolog,K01115
Calpain-type cysteine protease ADL1,K08573
Probable chitinase 10,K17582
Roundabout homolog 2,K06754
"Superoxide dismutase [Cu-Zn], chloroplastic",K04565
RNA-splicing ligase RtcB,K14415
Phospholipid phosphatase homolog 1.2 homolog,K01080
Elongin-B,K03873
Multicopy suppressor of chk1 protein 1,K11478
Lipopolysaccharide core biosynthesis mannosyltransferase LpsB,nan
"28S ribosomal protein S23, mitochondrial",K17402
Putative uncharacterized protein,K16677
Sphingosine N-acyltransferase-like protein ALT7,nan
Facilitated trehalose transporter Tret1,K08145
"Phospho-2-dehydro-3-deoxyheptonate aldolase 1, chloroplastic",K01626
Putative glycosyltransferase CsbB,nan
Activity-regulated cytoskeleton associated protein 1,K05860
Phosphate import ATP-binding protein PstB,K05658
Enoyl-[acyl-carrier-protein] reductase [NADH],K20671
Protein eva-1,K01099
Transcription cofactor vestigial-like protein 4,nan
Putative uncharacterized protein,K17102
LMBR1 domain-containing protein 2 homolog,nan
Putative uncharacterized protein,K03956
G patch domain-containing protein 11,K23718
CFA/I fimbrial subunit B,nan
Casein kinase I isoform alpha,K08958
Sister chromatid cohesion protein PDS5 homolog B,K11267
Regulatory protein Spx 1,K01092
Gamma-glutamylputrescine synthetase PuuA,nan
Probable serine/threonine-protein kinase SCO3848,K20880
Retrovirus-related Pol polyprotein from transposon 17.6,K09228
Fatty acyl-CoA reductase 1,K17580
NEDD8-like protein RUB1,K23390
Protein odd-skipped,K09215
Integrin alpha-9,K06483
Glutaminase A,nan
Foldase protein PrsA,K09578
Phosphatidylinositol polyphosphate 5-phosphatase type IV,K24222
Lipopolysaccharide export system ATP-binding protein LptB,K05644
Homeobox protein TGIF1,K19383
Mitotic checkpoint serine/threonine-protein kinase BUB1 beta,K06637
Integrator complex subunit 3 homolog,K13140
Outer membrane porin G,nan
PTS system N-acetylglucosamine-specific EIIC component,K02804
General L-amino acid transport ATP-binding protein AapP,K05679
Probable serine hydrolase,K10719
Sensor histidine kinase EnvZ,K05662
Syntaxin-binding protein 5,K08518
Putative uncharacterized protein,K18740
Extracellular endo-alpha-(1->5)-L-arabinanase,nan
Attachment protein G3P,nan
CUB and sushi domain-containing protein 1,K20994
Kinesin heavy chain,K10396
Sterol regulatory element-binding protein cleavage-activating protein,K12385
Putative uncharacterized protein,K01362
"Probable threonine--tRNA ligase, cytoplasmic",K01868
Negative regulator of genetic competence ClpC/MecB,K03695
D-3-phosphoglycerate dehydrogenase,nan
Sensor protein PhoQ,K00234
cytokinesis protein 3,K24456
Carbamoyl-phosphate synthase large chain,K01948
Ribonuclease TUDOR 2,K18413
Putative uncharacterized protein,K00710
50S ribosomal protein L1,K02867
3-methylmercaptopropionyl-CoA dehydrogenase,K00248
Putative amidase PB8B6.03,K15528
Aldehyde-alcohol dehydrogenase,nan
Ankyrin repeat-containing protein YAR1,K04984
ADP-ribosylation factor-like protein 6-interacting protein 1,nan
Glycosaminoglycan xylosylkinase homolog,K20825
Elongation of very long chain fatty acids protein AAEL008004,K10247
Y+L amino acid transporter 2,K13781
Carboxylesterase 3,K01049
White collar 1 protein,K04908
Deacetylase EF_0837,nan
Virus envelope protein E25,nan
Leucine-rich repeat transmembrane protein FLRT1,K23533
Arginine esterase,K09752
"Sulfate transporter 4.1, chloroplastic",nan
Nuclear hormone receptor family member nhr-8,K08547
Uncharacterized serpin-like protein TK1782,K13966
Protein CEPU-1,K06491
Uncharacterized protein Rv3776,nan
Transmembrane matrix receptor MUP-4,nan
Gamma-glutamylputrescine oxidoreductase,K11798
Clathrin heavy chain 1,K04646
Mechanosensory protein 2,K17286
DDB1- and CUL4-associated factor 12,K11803
Putative uncharacterized protein,K03213
Putative uncharacterized protein,K00731
Cyclic di-GMP phosphodiesterase response regulator RpfG,nan
Probable 5-dehydro-4-deoxyglucarate dehydratase,nan
Protein charybde,K08270
Antitoxin MqsA,nan
ABC transporter domain-containing protein C20G4.01,nan
O-methyltransferase tpcA,K00543
Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase,K09228
Uncharacterized ATP-dependent helicase MG018,K15192
Kunitz-type protease inhibitor 2,K23624
Inducible metalloproteinase inhibitor protein,K03900
GTP-binding protein ypt5,K07889
DNA-directed RNA polymerase III subunit RPC3,K03023
Putative uncharacterized protein,K22758
Ras-related protein RABA1d,K02105
Galactose mutarotase,K01785
Uncharacterized protein YNL011C,nan
UPF0301 protein Cgl3084/cg3414,nan
Rifampicin monooxygenase,nan
Kin of IRRE-like protein 2,K16680
"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2",K03909
Protein SMG9,K18735
Putative neuropeptide precursor protein,nan
UDP-glucuronosyltransferase 2C1 (Fragment),K00699
Exodeoxyribonuclease 7 large subunit,nan
Phenoloxidase-activating factor 3,K01312
Kinesin-like protein klpA,K12606
Leucine efflux protein,nan
Cell cycle checkpoint protein RAD17,K06662
Putative uncharacterized protein,K17675
Caffeine resistance protein 5,nan
NADPH-dependent oxidoreductase,nan
Sugar transporter ERD6-like 10,K14258
Neurotrimin,K06491
Trypsin-5,K01312
Cell division protein SepF,nan
Transketolase 1,K00615
Putative uncharacterized protein,K10062
N-acetyldiaminopimelate deacetylase,nan
50S ribosomal protein L19,K23789
ATP-dependent DNA helicase RecG,K14778
Nuclear cap-binding protein subunit 2,K12883
"Chloroplast stem-loop binding protein of 41 kDa b, chloroplastic",nan
Pre-mRNA-splicing factor spp42,K12856
L-arabinose 1-dehydrogenase (NAD(P)(+)),nan
60S ribosomal protein L35,K02918
E3 ubiquitin-protein ligase HECTD1,K04685
Pyrokinin-1 receptor,K05052
Toxin subunit YenB,nan
Sugar phosphatase YidA,nan
CD180 antigen,K08130
DNA damage-inducible protein I,nan
Putative uncharacterized protein,K24594
Inosine triphosphate pyrophosphatase,K01519
Trypsin V-B,K01324
Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1,K14589
"Lignostilbene-alpha,beta-dioxygenase isozyme I",K00515
Limbic system-associated membrane protein,K22655
